question_id,question_stem,choices_text,gold_answer,subject_area,difficulty,annotation_reasoning
89,Water evaporates less,"A: on a hot street
B: in a basement
C: on a sunny day
D: next to a window",B,earth_science,2,"The question asks for the application of a single fact regarding the factors affecting evaporation rates (humidity and temperature), identifying the basement as the coolest and most humid environment."
7-890,"A bird makes its home in various places, such as","A: groves of plants
B: waterways
C: city streets
D: public parks",A,biology,1,"The question asks for a basic factual recall of where birds typically live, which is a fundamental concept in biology/nature studies."
11-331,Lava is found above the ground because when there is lava there is,"A: a soft song
B: a frontal lobe
C: a small indent
D: a movement happening",D,earth_science,1,"The question asks for a basic association between lava and geological activity (movement), though the options are poorly phrased."
10-1159,the Earth rotating on its axis causes the sun to appear to move across the sky during what?,"A: dark hours
B: sunlight deficient
C: night
D: waking hours",D,earth_science,1,"The question asks for a basic factual recall of the effect of Earth's rotation on the apparent motion of the sun, which is a fundamental concept in basic earth science."
10-882,One component of rock formations in caves is,"A: liberal tears
B: bat urine
C: salty ocean water
D: granite statues",B,earth_science,1,"The question asks for a basic factual identification of a component of cave rock formations, though the options are largely nonsensical."
8-439,Consuming a hot liquid can,"A: Remove years of rust on a knife
B: sooth a pained esophagus
C: Cleanse the soul for God
D: Cure blindness in a child",B,biology,1,"The question asks for a basic factual understanding of the physiological effect of consuming a hot liquid on the body, though the options are largely nonsensical."
9-626,The slight angle of the axis of the human planet is responsible for the energy allotment that is received by what?,"A: polar areas
B: mars continents
C: free countries
D: all countries",D,astronomy,1,"The question asks about the basic concept of axial tilt and its effect on energy distribution, though the phrasing is awkward."
14-691,What is changed when an object is painted?,"A: chemical makeup
B: light absorption
C: sunshine
D: rust",B,chemistry,1,"The question asks for a basic factual identification of what changes when an object is painted, which is a simple recall of physical properties like light absorption."
9-401,organic life requires certain things to grow such as,"A: nutritional values
B: zinc
C: acid
D: darkness",A,biology,1,"The question asks for a basic requirement for organic life, which is a simple factual recall of nutritional needs."
14-1329,What requires soil to grow?,"A: lakes
B: car engine
C: daffodils
D: cows",C,biology,1,"The question asks for a basic factual recall of what needs soil to grow, which is a fundamental concept in primary biology."
13-112,"as the amount of water received by a plant increases , that plant will usually","A: form more vegatation
B: harden like rocks
C: start singing
D: fly to space",A,biology,1,"The question asks for a basic factual understanding of plant growth in relation to water, and the distractors are obviously incorrect."
7-51,many vehicles emitting pollution into the air may occur when,"A: horses pull carriage over snow
B: child is propelling scooter
C: trolley collects current from overhead wire
D: EMT transports panting patient",D,earth_science,2,"The question asks for the identification of a vehicle that emits pollution, which is a basic application of environmental science concepts."
1944,Condensation over night,"A: leads to extremely dry conditions
B: can lead to slippery grass
C: causes plants to wilt and die
D: causes black ice on bridges",B,earth_science,2,The question asks for a direct application of the concept of condensation (dew) and its observable effect on grass.
9-742,cooking a meal will lead to a transfer of energy into that meal?,"A: this is false
B: this is provable
C: maybe
D: all of these",B,physics,1,"The question asks for a basic understanding of energy transfer during cooking, which is a fundamental concept of thermodynamics (physics)."
10-820,"If one was to cease perspiration, what would they be most at risk for","A: hypothermia
B: seizure
C: overheating
D: cramps",C,biology,2,"The question asks for the direct consequence of stopping perspiration, which is a basic application of the fact that sweating cools the body."
10-1010,What can cause objects to repel each other?,"A: fake magnets
B: smell
C: identical charges
D: sunlight",C,physics,1,The question asks for a basic factual recall of the property that identical charges repel each other.
14-114,If a tree is cut down what will happen to it?,"A: vitality extinguishing
B: growth
C: vigor
D: life",A,biology,1,"The question asks for a basic outcome of cutting down a tree, which is a simple factual recall of the concept of death/loss of vitality."
