question_id,concept_1_name,concept_1_desc,concept_2_name,concept_2_desc,concept_3_name,concept_3_desc
89,Factors Affecting Evaporation Rate,"The speed of which liquid turns to gas is influenced by temperature, surface area, and humidity levels.",Relative Humidity and Vapor Pressure,Higher concentrations of water vapor in the air slow down the rate of evaporation from a liquid surface.,States of Matter and Phase Change,Evaporation is the process where liquid molecules gain enough energy to escape into the gaseous state.
7-890,Animal Habitat Selection,The process by which organisms choose environments that provide necessary resources for survival.,Ecological Niches,The specific role and space an organism occupies within an ecosystem.,Definition of Habitat,"The natural environment in which a particular species of animal, plant, or other organism lives."
11-331,Tectonic Plate Movement,The movement of Earth's lithospheric plates creates openings and volcanic activity that allow magma to reach the surface.,Volcanic Eruption Process,The process by which molten rock is forced from the Earth's interior to the surface.,Magma and Lava Definition,The distinction between molten rock beneath the surface (magma) and molten rock above the surface (lava).
10-1159,Apparent Motion of Celestial Bodies,The perceived movement of stars and the sun across the sky caused by the observer's frame of reference.,Earth's Axial Rotation,"The spinning of the Earth on its axis, which creates the cycle of day and night.",Day and Night Cycle,The periodic alternation between light and dark periods on Earth's surface.
10-882,Speleothem Formation Processes,The chemical precipitation of minerals from water dripping through cave ceilings and walls.,Mineral Precipitation,The process where dissolved substances come out of solution to form solid crystals.,Cave Geology,The study of the geological structures and natural formations found within cave systems.
8-439,Therapeutic Effects of Temperature,The application of heat to biological tissues can alleviate pain and relax muscles.,Human Anatomy of the Esophagus,The esophagus is the muscular tube that transports food and liquids from the pharynx to the stomach.,Properties of Thermal Energy,Thermal energy is the energy that comes from the heat transferred between systems.
9-626,Axial Tilt and Solar Insolation,The angle of a planet's axis relative to its orbital plane determines the distribution of solar energy across different latitudes.,Latitude and Energy Distribution,The distribution of solar radiation varies based on the geographic position relative to the equator and poles.,Planetary Rotation and Orbit,The basic movement of a planet as it rotates on its axis and revolves around the sun.
14-691,Light Absorption and Reflection,The color of an object is determined by which wavelengths of light are absorbed and which are reflected.,Physical Properties of Surfaces,Surface coatings change the external characteristics of an object without altering its internal composition.,Physical vs Chemical Change,A physical change alters the form or appearance of a matter without changing its chemical identity.
9-401,Biological Growth Requirements,The set of essential nutrients and environmental conditions necessary for an organism to increase in size and complexity.,Nutritional Value,The measure of the amount of energy and essential nutrients provided by a food source.,Organic Life,The state of being a living organism composed of carbon-based compounds.
14-1329,Plant Growth Requirements,"Living plants need specific environmental factors like soil, water, and sunlight to survive and grow.",Biological Needs of Organisms,Different organisms have distinct requirements for survival based on their biological makeup.,Living vs Non-living Things,"Living organisms are biological entities that grow and change, while non-living things are inanimate objects."
13-112,Plant Growth Factors,"The relationship between resource availability, such as water and nutrients, and the overall biomass production of a plant.",Photosynthesis and Water,"Water is a critical reactant in the process of photosynthesis, enabling the plant to produce glucose for growth.",Basic Plant Needs,"Plants require specific environmental inputs like water, sunlight, and carbon dioxide to survive and grow."
7-51,Combustion and Atmospheric Pollutants,The chemical process of burning fuels in engines releases harmful gases and particulate matter into the air.,Energy Sources for Transportation,"Different modes of transport use various energy sources, including fossil fuels, electricity, and biological energy.",Definition of Pollution,Pollution is the introduction of harmful materials into the environment.
1944,Phase Change Dynamics,The process of gas turning into liquid when thermal energy is removed from the system.,Dew Point Temperature,The specific temperature at which air becomes saturated and water vapor begins to condense.,States of Matter,"The different physical forms water can take, such as gas, liquid, and solid, depending on temperature."
9-742,Thermodynamics of Cooking,The process of cooking involves the transfer of thermal energy from a heat source to food.,Energy Transfer Mechanisms,Energy moves from a region of higher temperature to a region of lower temperature.,Conservation of Energy,"Energy cannot be created or destroyed, only transferred or transformed from one form to another."
10-820,Evaporative Cooling Mechanism,"The process where liquid water absorbs thermal energy from a surface to transition into a gas, lowering the surface temperature.",Homeostasis and Thermoregulation,The biological process by which organisms maintain a stable internal body temperature despite external changes.,Perspiration Definition,The secretion of water and electrolytes from sweat glands to the skin surface.
10-1010,Electrostatic Repulsion,"Like charges exert a repulsive force on each other, pushing objects apart.",Electric Charge Types,Matter consists of positive and negative charges that determine how objects interact.,Force and Interaction,A force is a push or pull acting upon an object resulting from its interaction with another object.
14-114,Biological Life Cycle,The sequence of stages an organism goes through from birth to death.,Plant Physiological Processes,The essential biological functions required for a plant to maintain its health and survival.,Definition of Vitality,The state of being strong and active; the energy required for life.
14-1470,Biological Survival Requirements,The fundamental needs an organism must meet to sustain life and reach maturity.,Resource Acquisition,The process by which living organisms obtain necessary energy and nutrients from their environment.,Basic Biological Needs,"The essential elements, such as food, water, and shelter, required for any living organism to survive."
9-412,Earth's Internal Structure,The Earth is composed of distinct concentric layers with different chemical and physical properties.,Geological Layering,"The planet's interior is divided into the crust, mantle, and core based on density and composition.",Planetary Anatomy,The basic concept that planets are made of different internal regions or levels.
14-918,Electrical Conductivity Properties,The ability of a material to allow the flow of electric current based on its atomic structure.,Electric Insulators,Materials that resist the flow of electric current due to tightly bound electrons.,Electric Current,The flow of electric charge through a conductor or insulator.
10-580,Optical Magnification Principles,The use of lenses to enlarge the image of distant objects for better visual clarity.,Binocular Functionality,Binoculars are optical instruments designed to bring distant objects into closer view.,Visual Distance Perception,The ability to perceive and distinguish objects based on their proximity to the observer.
14-686,Seismology Instrumentation,The use of specialized tools to detect and record the vibrations and waves produced by seismic events.,Seismic Wave Propagation,The movement of energy through the Earth's crust in the form of waves during geological events.,Geological Tremors,Vibrations of the Earth's surface caused by the movement of tectonic plates or volcanic activity.
13-84,Atmospheric Pollution Mechanisms,"The process by which harmful substances are introduced into the air, altering its chemical composition.",Environmental Impact of Waste,How the disposal and processing of human-made materials affect the surrounding ecosystem.,Air Quality Basics,The fundamental definition of air as a mixture of gases that can be contaminated by pollutants.
